ORGANIZACION,Comentario,Comentario Sin tratar,Etiqueta,Analyzer
slow food,senorita adriana encargada brindarme actividades dentro organizacion siempre atenta apoyo momento surgieron dudas embargo considero organizacion buena opcion ofertarla practicas debido escasez actividades pueden darte estancia dispuesta pedi muchas veces asignaran actividades extras pues parecia aburrido irrelevante pedian asimismo practicas debian terminar principios mes julio decidieron pesar haberle comentado encargada iba disponible siguieron pidiendome mas actividades tiempo libre hizo extrano apeno principio rechazar actividad segunda vez pidieron tiempo disponible pasada fecha termino anime preguntarles participacion alargaba si debia terminar julio comentaron habian dado cuenta habia recordado obligacion checar cartas pasantes practicas habia avisado estaria disponible despues fecha termino explicaron confusion pidieron disculpara habian checado efectivamente practicas habian terminado semana atras practicas escuche varios comentarios companeros habian realizado practicas comentarios tenian buena organizacion unica interesada dar actividades pasantes senorita adriana pues jefe desinteresado incluso jamas conoci nadie mas equipo slow food unico contacto senorita adriana pesar checar fecha termino momento profesional diplomatica,la senorita adriana encargada de brindarme las actividades dentro de la organizacion siempre fue muy atenta y me apoyo en todo momento que me surgieron dudas sin embargo considero que la organizacion no es una buena opcion para ofertarla como practicas debido a la escasez de actividades que pueden darte durante mi estancia estuve dispuesta y pedi muchas veces que me asignaran actividades extras pues me parecia aburrido e irrelevante lo que me pedian asimismo mis practicas debian terminar a principios del mes de julio como ellos lo decidieron a pesar de haberle comentado a la encargada que yo ya no iba a estar disponible siguieron pidiendome mas actividades y tiempo libre se me hizo muy extrano pero me apeno en un principio rechazar la actividad fue hasta que por segunda vez que me pidieron tiempo disponible pasada de la fecha de termino me anime a preguntarles porque mi participacion se alargaba si debia terminar el  de julio me comentaron que se habian dado cuenta porque yo no les habia recordado cuando es obligacion de ellos checar las cartas de sus pasantes de practicas y yo habia avisado que no estaria disponible despues de la fecha de mi termino me explicaron la confusion y me pidieron que los disculpara ya que habian checado que efectivamente mis practicas ya habian terminado desde una semana atras durante mis practicas escuche varios comentarios de companeros que habian realizado practicas  y sus comentarios eran que no tenian muy buena organizacion y que la unica interesada en dar actividades a los pasantes era la senorita adriana pues el jefe estaba desinteresado incluso yo jamas conoci a nadie mas del equipo de slow food el unico contacto que tuve fue con la senorita adriana quien a pesar de no checar mi fecha de termino en todo momento fue profesional y diplomatica ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.801, NEG: 0.171, POS: 0.028})"
comexi,equipo administrativo demora gestionar firma entrega documentos estudiante asignan fecha limite,el equipo administrativo demora en gestionar la firma y entrega de documentos que al estudiante se le asignan con fecha limite ,positive,"AnalyzerOutput(output=NEG, probas={NEG: 0.514, NEU: 0.472, POS: 0.014})"
slow food,proyecto lleva cabo bastante bueno embargo manera maneja organizacion cuanto ciertas actividades desacertado puesto exigen calidad ciertas actividades van acuerdo licenciatura practicante hace experiencia frustrante pide herramientas ayuda momento llevar cabo dichas actividades responden manera util,el proyecto que se lleva a cabo es bastante bueno sin embargo la manera en la que se maneja la organizacion en cuanto a ciertas actividades es muy desacertado puesto que exigen calidad en ciertas actividades que no van de acuerdo a la licenciatura del practicante lo cual hace la experiencia un tanto frustrante sobre todo cuando se les pide herramientas o ayuda al momento de llevar a cabo dichas actividades a lo que responden de manera poco util ,negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.603, NEU: 0.359, POS: 0.038})"
benteler,despacio mayoria dias habian cosas hacer habia cosas hacer debias quedar tarde poder hacer piden,estuvo muy despacio la mayoria de los dias no habian cosas que hacer y cuando habia cosas que hacer te debias de quedar hasta tarde para poder hacer lo que te piden ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.662, NEG: 0.288, POS: 0.049})"
proyecto interno impacto de la propuesta de modificacion a la ley del seguro social referente a la edad minima de retiro y contrapropuesta regulatoria,profesor encargado proyecto interno preparado tenia conocimientos necesarios planificacion actividades hicimos concretar satisfactoriamente proyecto duda recomendaria proximos estudiantes hicieran practicas,el profesor encargado del proyecto interno esta muy preparado y tenia todo los conocimientos necesarios para la planificacion de las actividades que hicimos para concretar satisfactoriamente el proyecto sin duda lo recomendaria para que los proximos estudiantes hicieran sus practicas con el,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.699, POS: 0.272, NEG: 0.029})"
proyecto interno valuacion actuarial del pasivo fiscal derivado de la pension universal del adulto mayor,bien,todo bien ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.476, POS: 0.294, NEG: 0.230})"
tsystems,ninguno,ninguno,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.298, POS: 0.205})"
tsystems,considero oportunidad desarrollar habilidades trabajo equipo autoaprendizaje embargo directamente relacionada carrera ademas sugeriria actividades programadas parte organizacion tener mayor efectividad,considero que es una oportunidad para desarrollar habilidades como trabajo en equipo autoaprendizaje sin embargo no estuvo directamente relacionada con mi carrera ademas sugeriria que hubiera actividades programadas por parte de la organizacion para tener mayor efectividad,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.534, POS: 0.448, NEG: 0.019})"
endeavor mexico,respetaban horario oficina podian pedir trabajo deshoras pedian inmediato,no respetaban el horario de oficina podian pedir trabajo a deshoras y lo pedian de inmediato ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.737, NEG: 0.229, POS: 0.034})"
aleph,buena si alumnos estan interesados data science tal actuaria,es buena si los alumnos estan interesados en data science como tal no es para actuaria,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, POS: 0.066, NEG: 0.023})"
distribuidora jr,huevas habilidades personales embargo profesionales ninguna organizacion directa carrera,tuve huevas habilidades personales sin embargo profesionales ninguna porque no es una organizacion directa de la carrera ,neutral,"AnalyzerOutput(output=NEG, probas={NEG: 0.825, NEU: 0.165, POS: 0.009})"
tsystems,aunque creo buena organizacion gran ambiente laboral creo organizacion adecuada licenciatura actuaria pues brinda ninguna area especifica aprendizaje carrera,aunque creo que es una muy buena organizacion con un gran ambiente laboral no creo que sea una organizacion adecuada para la licenciatura de actuaria pues no nos brinda ninguna area especifica de aprendizaje para esta carrera,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.649, POS: 0.328, NEG: 0.023})"
proyecto interno analisis de paisaje mediante a traves de imagenes aereas,realmente superviso lado gusto independencia gustado indicaciones mas concisas esperaba unas revisiones cuanto beneficios recibidos marque acordo ningun beneficio,"realmente no se me superviso mucho por un lado me gusto la independencia pero me hubieran gustado indicaciones mas concisas de que se esperaba de mi y unas revisiones 

en cuanto a beneficios recibidos marque que no ya que no se acordo ningun beneficio ",neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.629, POS: 0.303, NEG: 0.067})"
terra peninsular,excelente organizacion encantaria trabajar futuro,una excelente organizacion con la que me encantaria trabajar en un futuro ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.961, NEU: 0.036, NEG: 0.003})"
unam  instituto de neurobiologia,estaria bien reglamentar forma debe comunicar alumno organizacion especifico batalle muchisimo poder ponerme acuerdo dra cargo tardaba dias contestar ademas cancelo reuniones menos hora empezaran complicado ponernos acuerdo nunca respetaba tiempos tal vez mas apoyo parte universidad evitar anden jugando tiempo estaria bien,estaria bien reglamentar la forma en la que se debe comunicar el alumno con esta organizacion en especifico ya que yo batalle muchisimo para poder ponerme de acuerdo con ellos porque la dra en cargo se tardaba muchos dias en contestar ademas de que me cancelo como  reuniones en menos de una hora antes de que empezaran y fue muy complicado ponernos de acuerdo porque nunca respetaba los tiempos y tal vez con un poco mas de apoyo por parte de la universidad en ese sentido para evitar que anden jugando con nuestro tiempo estaria muy bien,positive,"AnalyzerOutput(output=NEG, probas={NEG: 0.723, NEU: 0.263, POS: 0.014})"
proyecto hast,llevo va carrera linea primer acercamiento realizar trabajo laboratorio presencial monitoreo tortugas aprendi equipo embargo integrante equipo tenia mucha tolerancia ensenar cometia error incluyo actividad laboratorio aunque final recuperaron horas actividades cuanto demas buenos comentarios,llevo todo lo que va de mi carrera en linea y este fue mi primer acercamiento a realizar trabajo de laboratorio presencial y monitoreo con tortugas aprendi mucho con el equipo sin embargo una integrante del equipo no tenia mucha tolerancia para ensenar o cuando yo cometia un error no se me incluyo en una actividad de laboratorio aunque al final se recuperaron las horas en otras actividades en cuanto a todo lo demas tengo buenos comentarios,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.785, POS: 0.187, NEG: 0.028})"
buap  instituto de ciencias centro de investigaciones en ciencias microbiologicas,orden aplique varios conocimientos relacionados relacionados licenciatura,todo en orden aplique varios conocimientos relacionados y no relacionados con mi licenciatura ,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.862, POS: 0.105, NEG: 0.032})"
hospital angeles puebla,aplica,no aplica,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.567, NEG: 0.277, POS: 0.157})"
tecam,gusto experiencia empresa muchas opciones dentro misma gusto enfoque ambiental,me gusto mucho la experiencia es una empresa que tienen muchas opciones dentro de la misma y me gusto el enfoque ambiental que tienen ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.726, NEU: 0.265, NEG: 0.009})"
unam  instituto de biotecnologia,estancia aprendi bastante actividades ayudaron complementar formacion independiente experiencia organizacion debo comentar coordinadora practicas escuela ciencias deberia tener mayor seguimiento organizaciones convenio externas informarnos va proceso organizacion entrar realizar practicas asi realizandolas mostrar interes cualquier dudainquietudtema resolver,"durante mi estancia aprendi bastante las actividades ayudaron a complementar mi formacion 
independiente a mi experiencia con mi organizacion debo de comentar que la coordinadora de practicas de la escuela de ciencias deberia tener mayor seguimiento con las organizaciones con convenio y externas e informarnos como va el proceso con nuestra organizacion antes de entrar a realizar nuestras practicas asi como cuando estemos ya realizandolas mostrar interes en cualquier dudainquietudtema que tengamos que resolver ",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.808, POS: 0.169, NEG: 0.023})"
proyector interno diseno de algoritmos heuristicos para el problema de diseno territorial considerando balanceo de actividades y compacidad,proyecto interesante gustaria seguir desarrollandome investigacion dentro campo,fue un proyecto muy interesante me gustaria seguir desarrollandome en investigacion dentro de este campo,positive,"AnalyzerOutput(output=POS, probas={POS: 0.735, NEU: 0.257, NEG: 0.008})"
aleph,buena empresa ambiente tambien llevas buen aprendizaje aplicado area estudio,muy buena empresa y el ambiente tambien te llevas buen aprendizaje aplicado al area de estudio ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.904, NEU: 0.091, NEG: 0.006})"
novafit,realizar practicas organizacion motivaron trabajar area consulta privada siento feliz satisfecha conocimiento obtenido aplicado lugar,realizar mis practicas en esta organizacion me motivaron a trabajar en el area de consulta privada me siento muy feliz y satisfecha con todo el conocimiento obtenido y aplicado en este lugar ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.836, NEU: 0.157, NEG: 0.007})"
instituto poblano de la juventud,parecio lugar adecuado hacer practicas profesionales ve interes ganas aprenda participe deberia asignaron trabajo basico tenia retroalimentacion asesor tardaba dias contestar dos veces pedi reunion contesto solo semana periodo presencial verdad experiencia buena aprendizaje cumplio expectativas senti mas programa servicio social,no me parecio un lugar adecuado para hacer las practicas profesionales no se ve el interes y las ganas de que aprenda o participe como deberia lo que me asignaron de trabajo es muy basico no tenia retroalimentacion del asesor tardaba dias en contestar dos veces le pedi reunion y no me contesto solo  semana del periodo fue presencial de verdad no fue una experiencia buena de aprendizaje y no cumplio con mis expectativas senti mas que es un programa de servicio social ,negative,"AnalyzerOutput(output=POS, probas={POS: 0.689, NEU: 0.295, NEG: 0.015})"
casa del sol,solo gustaria mencionar pregunta organizacion brindo beneficios comedor transporte remuneracion economica etc acordaron inicio practicas puse caso aplica decir organizacion ofrecio tipo beneficios,solo me gustaria mencionar que en la pregunta la organizacion te brindo los beneficios comedor transporte remuneracion economica etc que se acordaron al inicio de tus practicas puse que no porque en mi caso no aplica es decir la organizacion no se ofrecio ese tipo de beneficios ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.903, POS: 0.063, NEG: 0.034})"
